OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
40,5729 POTOMAC AVENUE NW,,1452,71,7/3/1922 12:00:00 AM,1922,,not in tax assessments,,,17232.0,Detached,1.0,1.0,building,0.0,,,"Helsley, O. L.",1.0,0.0,28.0,34.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,44,"Helsley, O. L.",,"Speet, B.",tile,dwelling,6000.0,224,,solid,concrete,,pitch,tile,asphalt shingles,hot water,255.60546875,65.8115684248268
123,2946 NEWARK STREET NW,,2082,40,3/21/1903 12:00:00 AM,1903,,,,,35652.0,Detached,1.0,1.0,building,0.0,Yes,"Sherman, John or Ella B.",Cleveland Park Co./Sherman Family,1.0,0.0,27.0,36.0,1.0,0.0,2.0,BKRAFT,8/4/2015 10:32:09 AM,0.0,DC Historical Building Permits Database,1446,"Sherman, John","Sherman, John",Simpson (John) & Sons,frame,dwelling,5000.0,273,,solid,stone,,pitch,frame,shingles,hot air,302.44921875,73.3585876025512
181,4711 FULTON STREET NW,,1408,21,9/2/1941 12:00:00 AM,1941,,,,,119921.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.",Miller (W. C. & A. N.) Development Co.,1.0,10.0,39.0,31.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,247053,Miller (W. C. & A. N.) Development Co.,"MacNeil, G. E.",Miller (W. C. & A. N.) Development Co.,brick & frame,dwelling,12000.0,652,,,brick & tile,,pitch,,slate,air conditioning,354.08203125,87.7098926496457
276,5233 PARTRIDGE LANE NW,,1447,854,12/9/1941 12:00:00 AM,1941,,,,,120480.0,Detached,1.0,1.0,building,0.0,,"Baxter, Harvey P.","Warther, Edmund G.",1.0,8.0,54.0,30.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,249730,"Warther, Edmund G.","Baxter, Harvey P.","Warther, Edmund G.",brick,dwelling,15000.0,677A,,,cinder block & brick,,pitch,,slate,air conditioning,275.83984375,74.1748738338877
439,3215 KLINGLE ROAD NW,,2098,807,7/11/1924 12:00:00 AM,1924,,,,,1499.0,Triplex,1.0,1.0,building,0.0,,Wardman & Waggaman,"Wardman, Harry/Const. Co./et al",3.0,8.0,0.0,29.0,1.0,0.0,2.0,BKRAFT,1/14/2016 3:20:35 PM,0.0,DC Historical Building Permits Database,173,Wardman Const. Co.,Wardman & Waggaman,Wardman Const. Co.,brick & stucco,dwelling,37000.0,264,,solid,concrete,,pitch,brick & stucco,slate,hot water,246.06640625,73.6797094946698
440,3219 KLINGLE ROAD NW,,2098,37,7/11/1924 12:00:00 AM,1924,,,,,1501.0,Triplex,1.0,1.0,building,0.0,,Wardman & Waggaman,"Wardman, Harry/Const. Co./et al",3.0,8.0,0.0,29.0,1.0,0.0,2.0,BKRAFT,1/14/2016 3:20:35 PM,0.0,DC Historical Building Permits Database,173,Wardman Const. Co.,Wardman & Waggaman,Wardman Const. Co.,brick & stucco,dwelling,37000.0,264,,solid,concrete,,pitch,brick & stucco,slate,hot water,177.4453125,53.3828572038675
441,3217 KLINGLE ROAD NW,,2098,36,7/11/1924 12:00:00 AM,1924,,,,,1500.0,Triplex,1.0,1.0,building,0.0,,Wardman & Waggaman,"Wardman, Harry/Const. Co./et al",3.0,8.0,0.0,29.0,1.0,0.0,2.0,BKRAFT,1/14/2016 3:20:35 PM,0.0,DC Historical Building Permits Database,173,Wardman Const. Co.,Wardman & Waggaman,Wardman Const. Co.,brick & stucco,dwelling,37000.0,264,,solid,concrete,,pitch,brick & stucco,slate,hot water,139.7109375,49.0229523928069
480,5618 MACARTHUR BOULEVARD NW,,1451,42,8/19/1919 12:00:00 AM,1919,,,,,22340.0,Detached,1.0,1.0,building,0.0,,"White, Chas.","Toppins, W. B.",1.0,0.0,29.0,31.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,1124,"Toppins, W. B.","White, Chas.","Stewart, W. Leonard",frame,dwelling,7123.0,178,,solid,concrete,,pitch,wood,slag,hot water,285.578125,76.3086877407678
568,4850 MACARTHUR BOULEVARD NW,,1388,77,12/11/1939 12:00:00 AM,1939,,,,,111971.0,Detached,1.0,1.0,building,0.0,,"Moss, Louis R.",Shady Brook Inc.,1.0,22.0,33.0,41.0,4.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,228663,Shady Brook Inc.,"Moss, Louis R.",Shady Brook Inc.,cinder block & brick,apartment,10000.0,622,,,cinder block & brick,,pitch,,tin & slate,central plant,225.3359375,60.2606898108774
589,5129 WATSON STREET NW,,1448,891,12/1/1941 12:00:00 AM,1941,,,,,120449.0,Detached,1.0,1.0,building,0.0,,"Abel, J.H./Dillon & Abel/Berla & Abel","Phillips, F. S.",1.0,9.0,41.0,30.0,1.0,0.0,3.0,BKRAFT,10/22/2015 6:50:31 PM,0.0,DC Historical Building Permits Database,249583,"Phillips, F. S.","Abel, Joseph H.","Phillips, F. S.",brick,dwelling,15000.0,677A,,,brick & tile,,pitch,,slate,hot water,277.40234375,68.2884962822003
